"id","DC_BD_Assets_Type","DC_BD_Assets_Name","SQL_BD_Account_ID","SQL_Heading_Sequence","SQL_Sequence","SQL_Account_Name_Code","SQL_Account_Name","SQL_Account_Category_Order_Code","SQL_Account_Category_Order","SUB_Account_Category_Order_Code","SUB_Account_Category_Order","SQL_Account_Group_Name_Code","SQL_Account_Group_Name","Accountnumber_ID","January","February","March","April","May","June","July","August","September","October","November","December","Total","Por_Per_Rev","Account_Year","SQL_Property","updated_at"
"1",,"OCCUPANCY","BD_occupancy_acwla_1_9","1","1.3","OD.1","Operational Data","OD.1.3","Occupancy %","-","-",,,"BD_occupancy_acwla_1_9","83.00","93.00","95.00","87.00","78.00","84.00","87.00","90.00","82.00","82.00","85.00","82.00","86.00",,"2024","AC Wailea","2024-12-21 12:15:01"
"2",,"AVERAGE RATE","BD_average_rate_acwla_1_9","1","1.4","OD.1","Operational Data","OD.1.4","Average Rate","-","-",,,"BD_average_rate_acwla_1_9","443.61","462.20","398.22","444.94","402.23","409.88","450.48","453.94","404.76","417.53","408.90","563.75","438.51",,"2024","AC Wailea","2024-12-21 12:15:01"
"3",,"TOTAL REV PAR","BD_total_rev_par_acwla_1_9","1","1.5","OD.1","Operational Data","OD.1.5","RevPar","-","-",,,"BD_total_rev_par_acwla_1_9","426.95","491.98","450.28","461.87","368.94","407.54","454.69","462.03","377.56","394.96","400.73","523.30","435.01",,"2024","AC Wailea","2024-12-21 12:15:01"
"4","FLOW THRU CALCULATION","SOLD ROOMS","BD_sold_rooms_acwla_1_9_flow_thru_calculation","1","1.2","OD.1","Operational Data","OD.1.2","Rooms Sold","-","-",,,"BD_sold_rooms_acwla_1_9_flow_thru_calculation","2828.00","2959.00","3231.00","2871.00","2647.00","2768.00","2973.00","3061.00","2704.00","2796.00","2799.00","2813.00","34450.00",,"2024","AC Wailea","2024-12-21 12:15:01"
"5","FLOW THRU CALCULATION","TOTAL ROOMS","BD_total_rooms_acwla_1_9_flow_thru_calculation","1","1.1","OD.1","Operational Data","OD.1.1","Available Rooms","-","-",,,"BD_total_rooms_acwla_1_9_flow_thru_calculation","3410.00","3190.00","3410.00","3300.00","3410.00","3300.00","3410.00","3410.00","3300.00","3410.00","3300.00","3410.00","40260.00",,"2024","AC Wailea","2024-12-21 12:15:02"
"6","SALES","Rooms","BD_rooms_acwla_1_9_sales","2","2.1","IS.1","Revenue","IS.1.1","Room Revenue","IS.1.1.1","Rooms",,,"BD_rooms_acwla_1_9_sales","1254533.84","1367637.92","1286646.53","1277413.30","1064704.68","1134555.77","1339291.26","1389512.09","1094468.99","1167419.72","1144523.24","1585818.77","15106526.10","438.44","2024","AC Wailea","2024-12-21 12:15:02"
"7","SALES","Food & Beverage","BD_food_and_beverage_acwla_1_9_sales","2","2.2","IS.1","Revenue","IS.1.2","F&B Revenue","IS.1.2.1","Food & Beverage",,,"BD_food_and_beverage_acwla_1_9_sales","144391.76","137995.53","157242.19","180344.21","137506.54","147877.39","146932.73","120120.61","91694.62","120547.91","116714.45","141010.06","1642378.02","47.67","2024","AC Wailea","2024-12-21 12:15:02"
"8","SALES","Market","BD_market_acwla_1_9_sales","2","2.4","IS.1","Revenue","IS.1.4","Miscellaneous Revenue","IS.1.4.1","Miscellaneous",,,"BD_market_acwla_1_9_sales","6633.84","6176.70","5598.33","5279.56","3786.12","6482.65","7346.73","4873.32","2976.87","4588.96","4125.24","5382.96","63251.28","1.84","2024","AC Wailea","2024-12-21 12:15:02"
"9","SALES","Other","BD_other_acwla_1_9_sales","2","2.3","IS.1","Revenue","IS.1.3","Other Revenue","IS.1.3.1","Total Other Operated Departments",,,"BD_other_acwla_1_9_sales","50332.86","57616.85","85965.64","61129.78","52077.75","55977.49","56926.42","61012.35","56813.23","54241.24","57033.67","52248.66","701375.93","20.36","2024","AC Wailea","2024-12-21 12:15:02"
"10","ROOMS CONTROLLABLES","TOTAL ROOMS CONT.","BD_total_rooms_cont._acwla_1_9_rooms_controllables","3","3.1","IS.2","Department Expenses","IS.2.1","Room Expense","IS.2.1.3","Cleaning Supplies",,,"BD_total_rooms_cont._acwla_1_9_rooms_controllables","199889.36","203735.54","217390.03","210330.27","170539.83","210918.00","196251.48","190543.65","179409.30","182104.53","203024.04","203644.62","2367780.63","68.72","2024","AC Wailea","2024-12-21 12:15:02"
"11","F&B CONTROLLABLES","TOTAL F&B CONT.","BD_total_fb_cont._acwla_1_9_fb_controllables","3","3.2","IS.2","Department Expenses","IS.2.2","F&B Expense","IS.2.2.2","Food Cost","IS.2.2.2.1",,"BD_total_fb_cont._acwla_1_9_fb_controllables","135110.36","123489.11","136823.14","143051.87","97774.00","142076.95","120368.65","114608.71","114367.16","140559.80","110447.56","111400.81","1490078.13","0.91","2024","AC Wailea","2024-12-21 12:15:02"
"12","BANQUET CONTROLLABLES","Total Other Expense","BD_total_other_expense_acwla_1_9_banquet_controllables","3","3.3","IS.2","Department Expenses","IS.2.3","Other Expense","IS.2.3.1","Total Other Operated Departments Expense","-",,"BD_total_other_expense_acwla_1_9_banquet_controllables","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2024","AC Wailea","2024-12-21 12:15:02"
"13","INFORMATION & TELECOM SYSTEMS","TOTAL I&TS CONT.","BD_total_its_cont._acwla_1_9_information_and_telecom_systems","5","5.2","IS.2","Undistributed Expenses","IS.2.5","Information & Telecommunications","IS.2.5.1","Information & Telecommunications Sys.",,,"BD_total_its_cont._acwla_1_9_information_and_telecom_systems","7156.15","5275.15","5737.12","6477.41","5435.61","5307.95","5432.25","5397.31","5520.26","5438.90","5317.16","5402.59","67897.86","1.69","2024","AC Wailea","2024-12-21 12:15:02"
"14","ADMIN & GEN CONTROLLABLES","TOTAL A&G CONT.","BD_total_ag_cont._acwla_1_9_admin_and_gen_controllables","5","5.1","IS.2","Undistributed Expenses","IS.2.4","A&G Expense","IS.2.4.1","Administrative & General",,,"BD_total_ag_cont._acwla_1_9_admin_and_gen_controllables","117339.85","118426.82","117179.88","124838.01","121357.89","111829.65","121007.29","135522.81","115168.29","150674.21","118446.02","130414.42","1482205.15","0.08","2024","AC Wailea","2024-12-21 12:15:02"
"15","UTILITIES","TOTAL UTILITIES","BD_total_utilities_acwla_1_9_utilities","5","5.5","IS.2","Undistributed Expenses","IS.2.14","Utilities","IS.2.14.1","Utilities",,,"BD_total_utilities_acwla_1_9_utilities","47007.36","46807.93","51194.81","49658.33","47664.26","49224.67","51701.06","54051.45","47116.46","46883.34","47931.87","49391.11","588632.65","14.62","2024","AC Wailea","2024-12-21 12:15:02"
