"id","DC_FC_Assets_Type","DC_FC_Assets_Name","SQL_FC_Account_ID","SQL_Heading_Sequence","SQL_Sequence","SQL_Account_Name_Code","SQL_Account_Name","SQL_Account_Category_Order_Code","SQL_Account_Category_Order","SUB_Account_Category_Order_Code","SUB_Account_Category_Order","SQL_Account_Group_Name_Code","SQL_Account_Group_Name","Accountnumber_ID","January","February","March","April","May","June","July","August","September","October","November","December","Total","Account_Year","SQL_Property","updated_at"
"1",,"OCCUPANCY","FC_occupancy_acwla_1_9","1","1.3","OD.1","Operational Data","OD.1.3","Occupancy %",,,,,"FC_occupancy_acwla_1_9","85.00","90.00","83.00","87.00","73.00","83.00","92.00","86.00","71.00","76.00","85.00","84.00","83.00","2024","AC Wailea","2024-12-21 12:15:02"
"2",,"AVERAGE RATE","FC_average_rate_acwla_1_9","1","1.4","OD.1","Operational Data","OD.1.4","Average Rate",,,,,"FC_average_rate_acwla_1_9","484.68","442.41","443.29","466.94","419.43","419.75","435.58","413.02","425.50","421.75","408.90","497.65","440.57","2024","AC Wailea","2024-12-21 12:15:02"
"3",,"TOTAL REV PAR","FC_total_rev_par_acwla_1_9","1","1.5","OD.1","Operational Data","OD.1.5","RevPar",,,,,"FC_total_rev_par_acwla_1_9","470.86","472.03","443.20","516.70","371.05","405.09","459.12","410.71","348.28","364.89","385.65","461.77","425.66","2024","AC Wailea","2024-12-21 12:15:02"
"4","FLOW THRU CALCULATION","SOLD ROOMS","FC_sold_rooms_acwla_1_9_flow_thru_calculation","1","1.2","OD.1","Operational Data","OD.1.2","Rooms Sold",,,,,"FC_sold_rooms_acwla_1_9_flow_thru_calculation","2906.00","2878.00","2835.00","2862.00","2488.00","2752.00","3149.00","2933.00","2342.00","2605.00","2799.00","2851.00","33400.00","2024","AC Wailea","2024-12-21 12:15:02"
"5","FLOW THRU CALCULATION","TOTAL ROOMS","FC_total_rooms_acwla_1_9_flow_thru_calculation","1","1.1","OD.1","Operational Data","OD.1.1","Available Rooms",,,,,"FC_total_rooms_acwla_1_9_flow_thru_calculation","3410.00","3190.00","3410.00","3300.00","3410.00","3300.00","3410.00","3410.00","3300.00","3410.00","3300.00","3410.00","40260.00","2024","AC Wailea","2024-12-21 12:15:02"
"6","SALES","Rooms","FC_rooms_acwla_1_9_sales","2","2.1","IS.1","Revenue","IS.1.1","Room Revenue",,,,,"FC_rooms_acwla_1_9_sales","1408469.05","1273251.33","1256736.10","1336371.77","1043543.25","1155150.82","1371637.99","1211384.09","996517.21","1098667.00","1144522.00","1418812.00","14715062.61","2024","AC Wailea","2024-12-21 12:15:02"
"7","SALES","F&B Outlet","FC_fb_outlet_acwla_1_9_sales","2","2.2","IS.1","Revenue","IS.1.2","F&B Revenue",,,,,"FC_fb_outlet_acwla_1_9_sales","128507.16","128177.69","132032.25","114706.96","123144.28","108913.40","104515.78","111878.96","81949.17","95147.37","116703.49","142914.93","1388591.44","2024","AC Wailea","2024-12-21 12:15:02"
"8","SALES","Banquet","FC_banquet_acwla_1_9_sales","2","2.4","IS.1","Revenue","IS.1.4","Miscellaneous Revenue",,,,,"FC_banquet_acwla_1_9_sales","4650.00","6305.45","818.74","0.00","0.00","0.00","0.00","320.00","0.00","0.00","0.00","0.00","12094.19","2024","AC Wailea","2024-12-21 12:15:02"
"9","SALES","Market","FC_market_acwla_1_9_sales","2","2.4","IS.1","Revenue","IS.1.4","Miscellaneous Revenue",,,,,"FC_market_acwla_1_9_sales","7288.20","4597.36","4930.64","3015.16","3752.50","6350.31","6833.93","6136.53","4815.24","4506.65","4114.53","5445.41","61786.46","2024","AC Wailea","2024-12-21 12:15:02"
"10","SALES","Guest Communications","FC_guest_communications_acwla_1_9_sales","2","2.3","IS.1","Revenue","IS.1.3","Other Revenue",,,,,"FC_guest_communications_acwla_1_9_sales","260.10","159.70","129.20","74.65","135.25","169.85","175.80","180.55","89.25","79.57","7.58","29.65","1491.15","2024","AC Wailea","2024-12-21 12:15:02"
"11","SALES","Other Sales","FC_other_sales_acwla_1_9_sales","2","2.3","IS.1","Revenue","IS.1.3","Other Revenue",,,,,"FC_other_sales_acwla_1_9_sales","56449.57","93270.75","116662.57","250926.59","94718.42","66210.96","82429.24","70617.70","65949.50","45874.05","7305.39","7441.11","957855.85","2024","AC Wailea","2024-12-21 12:15:02"
"12","ROOMS CONTROLLABLES","TOTAL ROOMS CONT.","FC_total_rooms_cont._acwla_1_9_rooms_controllables","3","3.1","IS.2","Department Expenses","IS.2.1","Room Expense","IS.2.1.3","Cleaning Supplies",,,"FC_total_rooms_cont._acwla_1_9_rooms_controllables","211186.00","163499.43","181187.74","163369.63","168930.74","170665.23","181363.13","177875.04","153205.50","167209.91","191891.00","192510.08","2122893.43","2024","AC Wailea","2024-12-21 12:15:02"
"13","F&B OUTLET CONTROLLABLES","TOTAL F&B CONT.","FC_total_fb_cont._acwla_1_9_fb_outlet_controllables","3","3.2","IS.2","Department Expenses","IS.2.2","F&B Expense",,,,,"FC_total_fb_cont._acwla_1_9_fb_outlet_controllables","121840.67","104619.14","127964.12","99934.94","96795.33","107402.62","104394.77","113867.73","90295.32","130881.52","110444.90","112460.25","1320901.31","2024","AC Wailea","2024-12-21 12:15:02"
"14","BANQUET CONTROLLABLES","Market Expense","FC_market_expense_acwla_1_9_banquet_controllables","3","3.4","IS.2","Department Expenses","IS.2.4","Miscellaneous Expense","IS.2.3.1","Miscellaneous",,,"FC_market_expense_acwla_1_9_banquet_controllables","2952.77","1476.62","1605.45","861.04","1457.71","2397.44","2731.58","3046.91","2557.02","1856.74","1695.19","2243.51","24881.98","2024","AC Wailea","2024-12-21 12:15:02"
"15","BANQUET CONTROLLABLES","Total Other Expense","FC_total_other_expense_acwla_1_9_banquet_controllables","3","3.3","IS.2","Department Expenses","IS.2.3","Other Expense",,,,,"FC_total_other_expense_acwla_1_9_banquet_controllables","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2024","AC Wailea","2024-12-21 12:15:02"
"16","INFORMATION & TELECOM SYSTEMS","TOTAL I&TS CONT.","FC_total_its_cont._acwla_1_9_information_and_telecom_systems","5","5.2","IS.2","Undistributed Expenses","IS.2.5","Information & Telecommunications",,,,,"FC_total_its_cont._acwla_1_9_information_and_telecom_systems","6595.67","6189.71","7572.19","6233.02","5418.44","6320.53","7089.58","5670.39","6103.82","5583.10","5449.70","5547.84","73773.99","2024","AC Wailea","2024-12-21 12:15:02"
"17","ADMIN & GEN CONTROLLABLES","TOTAL A&G CONT.","FC_total_ag_cont._acwla_1_9_admin_and_gen_controllables","5","5.1","IS.2","Undistributed Expenses","IS.2.4","A&G Expense",,,,,"FC_total_ag_cont._acwla_1_9_admin_and_gen_controllables","136840.10","116050.83","171482.97","137740.73","123880.47","121951.76","112875.76","132437.14","118856.39","146652.51","115676.08","124635.05","1559079.79","2024","AC Wailea","2024-12-21 12:15:02"
